YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
74 01 21 00 313 02.1 99.0 99.00 99.00 99.00 999 1009.0 -01.5 999.0 -03.1 99.0
74 01 21 03 040 00.7 99.0 99.00 99.00 99.00 999 1010.0 -02.1 999.0 -03.8 99.0
74 01 21 06 337 00.6 99.0 99.00 99.00 99.00 999 0910.0 -02.3 999.0 -02.9 99.0
74 01 21 09 111 04.1 99.0 99.00 99.00 99.00 999 1011.0 -01.6 999.0 -03.4 99.0
74 01 21 12 138 06.2 99.0 99.00 99.00 99.00 999 1011.0 -00.4 999.0 -05.6 99.0
74 01 21 15 099 11.3 99.0 99.00 99.00 99.00 999 1007.0 -00.3 999.0 -01.5 99.0
74 01 21 18 145 16.3 99.0 99.00 99.00 99.00 999 1000.0  00.3 999.0  00.3 99.0
74 01 21 21 178 12.1 99.0 99.00 99.00 99.00 999 0993.0  03.1 999.0  03.1 99.0
74 01 22 00 209 08.1 99.0 99.00 99.00 99.00 999 0992.0  04.2 999.0  04.2 99.0
74 01 22 03 228 05.2 99.0 99.00 99.00 99.00 999 0991.0  04.0 999.0  04.1 99.0
74 01 22 06 238 05.5 99.0 99.00 99.00 99.00 999 0995.0  03.5 999.0  03.5 99.0
74 01 22 09 266 07.8 99.0 99.00 99.00 99.00 999 0996.0  03.2 999.0  03.2 99.0
74 01 22 12 244 10.0 99.0 99.00 99.00 99.00 999 1001.0  03.3 999.0  03.3 99.0
74 01 22 15 274 09.3 99.0 99.00 99.00 99.00 999 1004.0  03.3 999.0  02.5 99.0
74 01 22 18 241 02.1 99.0 99.00 99.00 99.00 999 1005.0  03.1 999.0  02.7 99.0
74 01 22 21 199 04.8 99.0 99.00 99.00 99.00 999 1006.0  03.2 999.0  03.0 99.0
74 01 23 00 139 06.2 99.0 99.00 99.00 99.00 999 1004.0  03.1 999.0  03.1 99.0
74 01 23 03 113 04.4 99.0 99.00 99.00 99.00 999 1003.0  03.0 999.0  03.0 99.0
74 01 23 06 132 04.9 99.0 99.00 99.00 99.00 999 1001.0  03.0 999.0  03.0 99.0
74 01 23 09 065 07.2 99.0 99.00 99.00 99.00 999 0997.0  03.0 999.0  03.0 99.0
74 01 23 12 085 08.8 99.0 99.00 99.00 99.00 999 0992.0  03.1 999.0  03.1 99.0
74 01 23 15 112 06.2 99.0 99.00 99.00 99.00 999 0989.0  03.5 999.0  03.5 99.0
74 01 23 18 172 08.7 99.0 99.00 99.00 99.00 999 0986.0  04.1 999.0  04.1 99.0
74 01 23 21 175 06.2 99.0 99.00 99.00 99.00 999 0987.0  04.2 999.0  04.2 99.0
74 01 24 00 151 04.9 99.0 99.00 99.00 99.00 999 0985.0  03.9 999.0  03.9 99.0
74 01 24 03 132 03.1 99.0 99.00 99.00 99.00 999 0984.0  03.7 999.0  03.7 99.0
74 01 24 06 146 02.2 99.0 99.00 99.00 99.00 999 0985.0  03.3 999.0  03.3 99.0
74 01 24 09 039 02.3 99.0 99.00 99.00 99.00 999 0987.0  03.2 999.0  03.2 99.0
74 01 24 12 342 07.4 99.0 99.00 99.00 99.00 999 0991.0  03.2 999.0  03.2 99.0
74 01 24 15 003 09.3 99.0 99.00 99.00 99.00 999 0998.0  02.6 999.0  02.6 99.0
74 01 24 18 204 04.9 99.0 99.00 99.00 99.00 999 1004.0  03.2 999.0  02.9 99.0
74 01 24 21 299 07.3 99.0 99.00 99.00 99.00 999 1008.0  03.7 999.0  02.1 99.0
74 01 25 00 232 10.5 99.0 99.00 99.00 99.00 999 1011.0  03.3 999.0  02.0 99.0
74 01 25 03 286 09.3 99.0 99.00 99.00 99.00 999 1011.0  02.9 999.0  02.1 99.0
74 01 25 06 271 13.4 99.0 99.00 99.00 99.00 999 1012.0  03.2 999.0  01.2 99.0
74 01 25 09 269 12.9 99.0 99.00 99.00 99.00 999 1014.0  03.2 999.0  01.2 99.0
74 01 25 12 267 10.7 99.0 99.00 99.00 99.00 999 1016.0  03.0 999.0  01.4 99.0
74 01 25 15 225 08.8 99.0 99.00 99.00 99.00 999 1017.0  02.7 999.0  01.5 99.0
74 01 25 18 229 09.1 99.0 99.00 99.00 99.00 999 1016.0  02.8 999.0  01.7 99.0
74 01 25 21 213 04.5 99.0 99.00 99.00 99.00 999 1016.0  02.9 999.0  02.8 99.0
74 01 26 00 163 05.0 99.0 99.00 99.00 99.00 999 1013.0  03.2 999.0  03.2 99.0
74 01 26 03 191 06.7 99.0 99.00 99.00 99.00 999 1011.0  03.3 999.0  03.3 99.0
74 01 26 06 232 04.1 99.0 99.00 99.00 99.00 999 1010.0  03.3 999.0  03.3 99.0
74 01 26 09 248 05.5 99.0 99.00 99.00 99.00 999 1009.0  03.3 999.0  03.3 99.0
74 01 26 12 273 05.6 99.0 99.00 99.00 99.00 999 1009.0  03.2 999.0  03.2 99.0
74 01 26 15 272 05.4 99.0 99.00 99.00 99.00 999 1009.0  03.2 999.0  03.2 99.0
74 01 26 18 216 04.4 99.0 99.00 99.00 99.00 999 1007.0  03.1 999.0  03.1 99.0
74 01 26 21 205 01.0 99.0 99.00 99.00 99.00 999 1004.0  03.2 999.0  03.2 99.0
74 01 27 00 306 03.1 99.0 99.00 99.00 99.00 999 1003.0  03.0 999.0  03.0 99.0
74 01 27 03 034 02.5 99.0 99.00 99.00 99.00 999 1006.0  02.9 999.0  02.9 99.0
74 01 27 06 017 02.0 99.0 99.00 99.00 99.00 999 1008.0  02.5 999.0  02.5 99.0
74 01 27 09 245 02.8 99.0 99.00 99.00 99.00 999 1009.0  02.2 999.0  02.2 99.0
74 01 27 12 231 04.0 99.0 99.00 99.00 99.00 999 1009.0  02.6 999.0  02.6 99.0
74 01 27 15 273 09.6 99.0 99.00 99.00 99.00 999 1007.0  02.8 999.0  02.8 99.0
74 01 27 18 349 11.6 99.0 99.00 99.00 99.00 999 1006.0  02.6 999.0  02.6 99.0
74 01 27 21 242 13.9 99.0 99.00 99.00 99.00 999 1006.0  02.1 999.0 -01.3 99.0
74 01 28 00 326 13.5 99.0 99.00 99.00 99.00 999 1006.0  00.5 999.0 -04.6 99.0
74 01 28 03 220 13.7 99.0 99.00 99.00 99.00 999 1006.0 -00.8 999.0 -06.1 99.0
74 01 28 06 283 09.9 99.0 99.00 99.00 99.00 999 1006.0 -02.0 999.0 -06.0 99.0
74 01 28 09 325 12.7 99.0 99.00 99.00 99.00 999 1007.0 -03.2 999.0 -05.8 99.0
74 01 28 12 337 11.6 99.0 99.00 99.00 99.00 999 1006.0 -02.4 999.0 -06.7 99.0
74 01 28 15 217 11.3 99.0 99.00 99.00 99.00 999 1006.0 -02.2 999.0 -02.9 99.0
74 01 28 18 325 07.1 99.0 99.00 99.00 99.00 999 1005.0 -03.4 999.0 -04.5 99.0
74 01 28 21 248 12.6 99.0 99.00 99.00 99.00 999 1004.0 -04.7 999.0 -05.7 99.0
74 01 29 00 342 12.0 99.0 99.00 99.00 99.00 999 1005.0 -05.0 999.0 999.0 99.0
74 01 29 03 074 10.2 99.0 99.00 99.00 99.00 999 1006.0 -05.0 999.0 -06.4 99.0
74 01 29 06 298 11.1 99.0 99.00 99.00 99.00 999 1006.0 -04.3 999.0 -07.5 99.0
74 01 29 09 318 07.7 99.0 99.00 99.00 99.00 999 1008.0 -03.0 999.0 -07.3 99.0
74 01 29 12 298 04.1 99.0 99.00 99.00 99.00 999 1009.0 -02.7 999.0 -02.7 99.0
74 01 29 15 340 05.2 99.0 99.00 99.00 99.00 999 1009.0 -02.3 999.0 -07.1 99.0
74 01 29 18 327 03.0 99.0 99.00 99.00 99.00 999 1010.0 -02.1 999.0 -06.4 99.0
74 01 29 21 295 05.9 99.0 99.00 99.00 99.00 999 1010.0 -01.8 999.0 -05.6 99.0
74 01 30 00 284 04.6 99.0 99.00 99.00 99.00 999 1009.0 -01.8 999.0 -05.9 99.0
74 01 30 03 207 01.7 99.0 99.00 99.00 99.00 999 1009.0 -01.9 999.0 -07.1 99.0
74 01 30 06 137 01.7 99.0 99.00 99.00 99.00 999 1008.0 -02.0 999.0 -06.6 99.0
74 01 30 09 090 05.2 99.0 99.00 99.00 99.00 999 1007.0 -01.5 999.0 -04.7 99.0
74 01 30 12 106 06.4 99.0 99.00 99.00 99.00 999 1004.0  00.2 999.0 -04.9 99.0
74 01 30 15 093 09.7 99.0 99.00 99.00 99.00 999 1001.0  00.7 999.0 -02.2 99.0
74 01 30 18 093 12.1 99.0 99.00 99.00 99.00 999 1000.0  00.1 999.0 -00.7 99.0
74 01 30 21 088 18.6 99.0 99.00 99.00 99.00 999 1001.0  00.0 999.0 -02.2 99.0
74 01 31 00 068 17.7 99.0 99.00 99.00 99.00 999 1000.0 -00.4 999.0 -02.1 99.0
74 01 31 03 050 15.8 99.0 99.00 99.00 99.00 999 0999.0 -00.8 999.0 -03.2 99.0
74 01 31 06 066 12.4 99.0 99.00 99.00 99.00 999 0998.0 -00.6 999.0 -03.5 99.0
74 01 31 09 046 09.9 99.0 99.00 99.00 99.00 999 1000.0 -01.1 999.0 -02.9 99.0
74 01 31 12 027 09.8 99.0 99.00 99.00 99.00 999 1000.0 -01.1 999.0 -02.9 99.0
74 01 31 15 333 04.6 99.0 99.00 99.00 99.00 999 1000.0 -00.8 999.0 -05.3 99.0
