#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 08 00 50 999 99.0 99.0  3.23 11.43  6.59 999  994.1 999.0   4.9 999.0 99.0 99.00
2014 01 08 01 50 999 99.0 99.0  3.19 11.43  6.50 999  993.9 999.0   4.9 999.0 99.0 99.00
2014 01 08 02 50 999 99.0 99.0  3.06 10.00  6.93 999  993.9 999.0   4.9 999.0 99.0 99.00
2014 01 08 03 50 999 99.0 99.0  2.97 11.43  7.02 999  994.0 999.0   4.9 999.0 99.0 99.00
2014 01 08 04 50 999 99.0 99.0  2.68 10.00  6.59 999  994.1 999.0   4.9 999.0 99.0 99.00
2014 01 08 05 50 999 99.0 99.0  2.77 11.43  6.91 999  994.4 999.0   4.9 999.0 99.0 99.00
2014 01 08 06 50 999 99.0 99.0  2.64 10.81  7.07 999  994.8 999.0   4.9 999.0 99.0 99.00
2014 01 08 07 50 999 99.0 99.0  2.74 11.43  7.25 999  995.0 999.0   4.9 999.0 99.0 99.00
2014 01 08 08 50 999 99.0 99.0  2.78 10.81  7.45 999  995.5 999.0   4.9 999.0 99.0 99.00
2014 01 08 09 50 999 99.0 99.0  3.09 11.43  7.83 999  995.7 999.0   4.9 999.0 99.0 99.00
2014 01 08 10 50 999 99.0 99.0  3.26 12.12  8.22 999  995.8 999.0   4.9 999.0 99.0 99.00
2014 01 08 11 50 999 99.0 99.0  3.63 12.90  8.66 999  995.8 999.0   4.9 999.0 99.0 99.00
2014 01 08 12 50 999 99.0 99.0  3.30 11.43  8.18 999  995.9 999.0   4.9 999.0 99.0 99.00
2014 01 08 13 50 999 99.0 99.0  3.33 12.90  8.08 999  995.9 999.0   4.9 999.0 99.0 99.00
2014 01 08 14 50 999 99.0 99.0  3.42 12.12  8.15 999  995.6 999.0   4.9 999.0 99.0 99.00
2014 01 08 15 50 999 99.0 99.0  3.01 11.43  7.58 999  995.5 999.0   4.9 999.0 99.0 99.00
2014 01 08 16 50 999 99.0 99.0  3.20 12.90  7.97 999  995.3 999.0   4.9 999.0 99.0 99.00
2014 01 08 17 50 999 99.0 99.0  3.25 13.79  7.87 999  995.9 999.0   4.9 999.0 99.0 99.00
2014 01 08 18 50 999 99.0 99.0  3.38 12.90  8.16 999  996.0 999.0   4.9 999.0 99.0 99.00
2014 01 08 19 50 999 99.0 99.0  3.33 13.79  8.21 999  996.4 999.0   4.9 999.0 99.0 99.00
2014 01 08 20 50 999 99.0 99.0  3.43 12.90  8.52 999  996.2 999.0   4.9 999.0 99.0 99.00
2014 01 08 21 50 999 99.0 99.0  3.50 13.79  8.58 999  995.7 999.0   4.9 999.0 99.0 99.00
2014 01 08 22 50 999 99.0 99.0  3.12 11.43  8.12 999  995.1 999.0   4.9 999.0 99.0 99.00
2014 01 08 23 50 999 99.0 99.0  3.29 12.12  8.43 999  994.7 999.0   4.9 999.0 99.0 99.00
2014 01 09 00 50 999 99.0 99.0  3.01 11.43  7.95 999  994.6 999.0   4.9 999.0 99.0 99.00
2014 01 09 01 50 999 99.0 99.0  2.92 12.12  7.66 999  994.3 999.0   4.9 999.0 99.0 99.00
2014 01 09 02 50 999 99.0 99.0  2.78 12.90  7.60 999  993.9 999.0   4.8 999.0 99.0 99.00
2014 01 09 03 50 999 99.0 99.0  2.51 11.43  7.04 999  993.2 999.0   4.9 999.0 99.0 99.00
2014 01 09 04 50 999 99.0 99.0  2.48 12.90  7.25 999  992.9 999.0   4.9 999.0 99.0 99.00
2014 01 09 05 50 999 99.0 99.0  2.55 12.90  7.69 999  993.0 999.0   4.9 999.0 99.0 99.00
2014 01 09 06 50 999 99.0 99.0  2.62 12.90  7.59 999  993.2 999.0   4.8 999.0 99.0 99.00
2014 01 09 07 50 999 99.0 99.0  2.46 12.12  7.56 999  993.1 999.0   4.9 999.0 99.0 99.00
2014 01 09 08 50 999 99.0 99.0  2.46 12.12  7.77 999  993.0 999.0   4.8 999.0 99.0 99.00
2014 01 09 09 50 999 99.0 99.0  2.54 12.12  7.69 999  993.0 999.0   4.8 999.0 99.0 99.00
2014 01 09 10 50 999 99.0 99.0  2.80 10.81  8.40 999  993.3 999.0   4.8 999.0 99.0 99.00
2014 01 09 11 50 999 99.0 99.0  2.67 11.43  8.12 999  993.5 999.0   4.8 999.0 99.0 99.00
2014 01 09 12 50 999 99.0 99.0  2.31 10.81  7.45 999  993.6 999.0   4.9 999.0 99.0 99.00
2014 01 09 13 50 999 99.0 99.0  2.48 10.81  7.56 999  993.9 999.0   4.8 999.0 99.0 99.00
2014 01 09 14 50 999 99.0 99.0  2.39 12.12  7.75 999  993.9 999.0   4.9 999.0 99.0 99.00
2014 01 09 15 50 999 99.0 99.0  2.15 11.43  7.13 999  993.8 999.0   4.9 999.0 99.0 99.00
2014 01 09 16 50 999 99.0 99.0  2.29 10.81  7.37 999  993.6 999.0   4.9 999.0 99.0 99.00
2014 01 09 17 50 999 99.0 99.0  2.32 10.81  6.88 999  993.8 999.0   4.9 999.0 99.0 99.00
2014 01 09 18 50 999 99.0 99.0  2.14 13.79  6.36 999  994.1 999.0   4.9 999.0 99.0 99.00
2014 01 09 19 50 999 99.0 99.0  2.11 14.81  6.17 999  994.6 999.0   4.9 999.0 99.0 99.00
2014 01 09 20 50 999 99.0 99.0  2.20 12.12  5.85 999  995.5 999.0   4.9 999.0 99.0 99.00
2014 01 09 21 50 999 99.0 99.0  2.50 12.90  6.26 999  996.2 999.0   4.9 999.0 99.0 99.00
2014 01 09 22 50 999 99.0 99.0  2.63 12.12  6.12 999  996.4 999.0   4.9 999.0 99.0 99.00
2014 01 09 23 50 999 99.0 99.0  2.52  5.88  5.83 999  996.5 999.0   4.9 999.0 99.0 99.00
2014 01 10 00 50 999 99.0 99.0  2.95  5.88  6.14 999  996.9 999.0   4.8 999.0 99.0 99.00
2014 01 10 01 50 999 99.0 99.0  3.09  6.67  6.15 999  996.9 999.0   4.8 999.0 99.0 99.00
2014 01 10 02 50 999 99.0 99.0  2.95  7.14  6.09 999  997.3 999.0   4.9 999.0 99.0 99.00
2014 01 10 03 50 999 99.0 99.0  2.87  7.69  6.07 999  997.7 999.0   4.8 999.0 99.0 99.00
2014 01 10 04 50 999 99.0 99.0  3.10  9.09  6.32 999  998.1 999.0   4.8 999.0 99.0 99.00
2014 01 10 05 50 999 99.0 99.0  3.26  8.33  6.49 999  998.6 999.0   4.8 999.0 99.0 99.00
2014 01 10 06 50 999 99.0 99.0  3.21  7.69  6.51 999  998.9 999.0   4.8 999.0 99.0 99.00
2014 01 10 07 50 999 99.0 99.0  3.59  9.09  6.62 999  999.1 999.0   4.8 999.0 99.0 99.00
2014 01 10 08 50 999 99.0 99.0  2.87  8.33  6.17 999  999.6 999.0   4.8 999.0 99.0 99.00
2014 01 10 09 50 999 99.0 99.0  3.03 10.00  6.49 999  999.8 999.0   4.8 999.0 99.0 99.00
2014 01 10 10 50 999 99.0 99.0  3.41 10.00  6.78 999 1000.1 999.0   4.8 999.0 99.0 99.00
2014 01 10 11 50 999 99.0 99.0  3.29  9.09  6.83 999 1000.1 999.0   4.8 999.0 99.0 99.00
