YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 05 03 00 227  6.7  8.0  3.59 11.11  7.60 999 1024.4   5.5   5.2 999.0 99.0 99.00
2005 01 05 04 00 294  3.8  4.9  3.38 11.11  7.95 999 1025.3   4.8   5.2 999.0 99.0 99.00
2005 01 05 05 00 298  4.5  6.4  3.00 12.50  7.71 999 1025.8   4.7   5.2 999.0 99.0 99.00
2005 01 05 06 00 317  5.2  6.0  3.24 11.11  8.20 999 1027.0   4.7   5.2 999.0 99.0 99.00
2005 01 05 07 00 354  7.6 10.0  3.09 12.50  8.48 999 1028.2   3.9   5.2 999.0 99.0 99.00
2005 01 05 08 00 352  5.8  7.4  2.97 11.11  7.84 999 1029.2   4.9   5.2 999.0 99.0 99.00
2005 01 05 09 00 350  8.2 10.3  2.98 11.11  7.98 999 1030.3   5.1   5.2 999.0 99.0 99.00
2005 01 05 10 00 339  8.7 10.5  2.59 14.29  7.09 999 1031.3   4.8   5.2 999.0 99.0 99.00
2005 01 05 11 00 330  8.6 11.1  2.96 12.50  7.44 999 1031.7   4.8   5.2 999.0 99.0 99.00
2005 01 05 12 00 330  9.5 12.0  2.70 11.11  6.73 999 1033.0   4.7   5.2 999.0 99.0 99.00
2005 01 05 13 00 328  9.8 12.0  3.00 12.50  6.78 999 1034.1   4.4   5.2 999.0 99.0 99.00
2005 01 05 14 00 321  9.5 11.2  3.29 12.50  7.02 999 1034.9   4.4   5.2 999.0 99.0 99.00
2005 01 05 15 00 315 10.1 12.1  3.16 11.11  6.73 999 1035.7   4.4   5.2 999.0 99.0 99.00
2005 01 05 16 00 313  9.6 12.0  3.33  9.09  6.86 999 1036.6   4.0   5.2 999.0 99.0 99.00
2005 01 05 17 00 310 10.5 13.0  3.22 11.11  6.84 999 1037.6   4.0   5.2 999.0 99.0 99.00
2005 01 05 18 00 307 10.6 12.3  3.27  9.09  6.75 999 1038.1   4.0   5.2 999.0 99.0 99.00
2005 01 05 19 00 310 11.0 13.3  3.60  9.09  7.07 999 1039.2   4.0   5.1 999.0 99.0 99.00
2005 01 05 20 00 306 11.1 13.1  3.38 12.50  6.96 999 1040.1   3.9   5.1 999.0 99.0 99.00
2005 01 05 21 00 307 11.3 13.3  3.38 11.11  6.54 999 1040.6   3.9   5.1 999.0 99.0 99.00
2005 01 05 22 00 304 11.2 13.8  3.51 10.00  6.73 999 1040.9   4.0   5.1 999.0 99.0 99.00
